,Title,Summary,Published On
326,"Weekly mortgage applications hit a record, but not a healthy one for housing","Mortgage interest rates are decidedly lower than a year ago, and home shoppers are buying, but most are wealthier consumers buying pricier homes.",2019-03-13 11:00:00Z
327,"US import prices rose 0.6% in February, vs 0.3% increase expected","U.S. import prices were expected to rise 0.3 percent in February, after slipping 0.5 percent a month earlier.",2019-03-14 12:31:00Z
328,US new home sales declined 6.9 percent in January,Sales of new U.S. homes slumped 6.9 percent in January.,2019-03-14 14:07:00Z
329,US manufacturing output falls for a second straight month,U.S. manufacturing output fell for a second straight month in February.,2019-03-15 13:15:00Z
330,JOLTS report shows job openings at 7.6M vs. 7.3M estimate,,2019-03-15 14:02:00Z
331,"US economic growth is set to slow sharply this year and next, according to CNBC's Fed survey","The average forecast for gross domestic product growth this year is just 2.3 percent, according to the CNBC Fed Survey for March, because of the trade battle and slowing global growth.",2019-03-19 11:00:00Z
332,The market could be setting itself up for a letdown from Wednesday's Fed decision,"Should the policymaking Federal Open Market Committee not deliver on market expectations, the result may not be pretty.",2019-03-20 12:51:00Z
333,More than free money: Here's how long-shot 2020 candidate Andrew Yang would reshape the US economy,"Long-shot Democratic candidate Andrew Yang has proposed a $1,000 monthly stipend to Americans ages 18 to 64, but he&#039;s looking to tackle other issues.",2019-03-20 13:46:00Z
334,Market sees nearly 50% chance of a Fed rate cut by the end of January 2020,The fed funds futures market is assigning a 47.8 percent probability of at least one rate cut by Jan. 29.,2019-03-20 18:30:00Z
335,"Fed holds line on rates, says no more hikes ahead this year","In a unanimous move, the central bank&#039;s policymaking committee took a sharp dovish turn from policy projections just three months earlier.",2019-03-20 18:00:00Z
336,A key recession indicator just did something that hasn't happened in 12 years,Federal Reserve Chairman Jerome Powell&#039;s assertion this week that the U.S. economy remains strong is facing a stern test from the bond market.,2019-03-21 17:17:00Z
337,"Boeing's 737 Max could single-handedly hit US GDP if production is halted, JP Morgan says","A production halt of Boeing&#039;s 737 Max jets could be felt well beyond the aerospace giant&#039;s quarterly profits, according to J.P. Morgan.",2019-03-21 19:36:00Z
338,Trump says GDP would have topped 4% if Fed had halted rate hikes sooner,"U.S. economic growth would be much stronger had the Federal Reserve stopped raising rates sooner, President Donald Trump said in an interview that aired Friday.",2019-03-22 11:13:00Z
339,Fed's Charles Evans says US economy is slowing but downplays recession,Chicago Federal Reserve President Charles Evans says the U.S. economy has slowed but downplayed chances of a recession.,2019-03-25 03:58:00Z
340,Ex-Fed Chair Yellen: The recession indicator in the bond market could mean a rate cut not a downturn,Stocks tumbled on Friday after an inversion of the so-called yield curve in the U.S. bond markets.,2019-03-25 12:17:00Z
341,"'More bumps in the road' before US-China trade deal, former Treasury Secretary Jack Lew warns","A new round of trade talks between American and Chinese officials could help bring an end to the global trade war, former U.S. Treasury Secretary Jack Lew told CNBC on Monday.",2019-03-25 12:47:00Z
342,Standard Chartered CEO says a recession next year 'looks less likely today',"There may be signs of a possible recession, but Standard Chartered CEO Bill Winters says it doesn&#039;t look like a downturn is on the horizon.",2019-03-26 03:07:00Z
343,"Trump tariffs costing US consumers $1.4 billion per month, study shows","The Federal Reserve Bank of New York, Princeton and Columbia find President Trump&#039;s tariffs are costing U.S. consumers billions each month.",2019-03-26 11:08:00Z
344,"US housing starts total 1.16 million in February, vs 1.21 million expected",,2019-03-26 12:30:00Z
345,Home prices in January see smallest gain in nearly 4 years: S&P Case-Shiller,"Prices are still rising, but the gains continue to shrink, as fewer buyers are able to afford the homes available for sale.",2019-03-26 13:00:00Z
346,US consumer confidence weakens in March,American consumers were feeling less confident this month amid continued volatility in the financial markets.,2019-03-26 15:10:00Z
347,Optimism about economy dips but Americans still feel it is in good shape under Trump: CNBC survey,"Half of all Americans believe the economy is in excellent or good shape, according to CNBC&#039;s All-America Economic Survey.",2019-03-27 10:34:00Z
348,Weekly mortgage applications surge nearly 9% on lower rates,"Mortgage rates dropped to the lowest level in more than a year last week, establishing a new normal in housing affordability.",2019-03-27 11:00:00Z
349,Likely Fed nominee Stephen Moore thinks rates should be cut by half a percentage point,"The Heritage Foundation fellow backed off on earlier criticism he had for the Fed and specifically its chairman, Jerome Powell.",2019-03-27 12:23:00Z
350,US trade deficit narrows sharply in January as China purchases of soybeans jumps,,2019-03-27 12:30:00Z
351,China makes unprecedented proposals on tech transfer as trade talks progress: US officials,"The U.S. and China have made progress in all areas under discussion in trade talks, but sticking points remain, U.S. officials told Reuters.",2019-03-28 03:09:00Z
352,US weekly jobless claims unexpectedly fall,"The number of Americans filing applications for unemployment benefits unexpectedly fell last week, suggesting labor market conditions remained solid, despite slowing job growth.",2019-03-28 12:31:00Z
353,Buffett on the economy: 'It looks like things have slowed down',"Warren Buffett, chairman and CEO of Berkshire Hathaway, said Thursday that economic growth has lost some steam recently.",2019-03-28 17:39:00Z
354,"Consumer spending, personal income data show economy slowing swiftly in the new year","U.S. consumer spending rebounded less than expected in January and incomes rose modestly in February, suggesting the economy was fast losing momentum.",2019-03-29 12:41:00Z
355,"If a recession really is coming, here's what Powell and Trump can do to stop it","With a bond market signal pointing to a recession, policymakers have a choice: act now or hope that conditions change for the better.",2019-03-29 13:08:00Z
356,The Farm Belt faces an expensive cleanup after already-costly record flooding,"Record flooding in the Midwest and Great Plains caused at least $3 billion in damage to the region and more than one third of the tally is from agriculture, according to officials.",2019-03-29 15:03:00Z
357,"The Fed has made a big mistake, and here's how Powell could fix it: Stifel","The Fed made a mistake in hiking rates in December, and it will take two rate cuts to correct, says Stifel&#039;s Barry Bannister.",2019-03-29 15:13:00Z
358,Weak February US retail sales underscore slowing economy,"US retail sales slumped amid declining spending on building materials, electronics, and groceries.",2019-04-01 12:30:00Z
359,Auto sales projected to slow to lowest level in more than 4 years despite SUV and pickup demand,"Americans are finally tapping the brakes when it comes to buying new vehicles, according to analysis of first-quarter sales by J.D. Power and Associates.",2019-04-01 13:00:00Z
360,Things are only getting tougher for Chair Jerome Powell and his 'all over the place' Fed,The central bank chief now faces a landscape full of mines that could detonate in any direction.,2019-04-01 18:42:00Z
361,"No need for the Fed to enter 'panic mode' and cut rates now, says Moody's",Top White House economic advisor Larry Kudlow said last week the U.S. Federal Reserve should cut interest rates by 50 basis points.,2019-04-02 03:42:00Z
362,WTO lowers its forecasts after global trade slowed in the fourth quarter,"World trade shrank by 0.3 percent in the fourth quarter of 2018 and is likely to grow by 2.6 percent this year, below a previous forecast of 3.7 percent.",2019-04-02 10:19:00Z
363,"US core capital goods, durable goods orders drop in February","New orders for key U.S.-made capital goods unexpectedly fell in February and shipments were unchanged, but data for January was revised slightly higher.",2019-04-02 12:30:00Z
364,Payrolls post another disappointing month in March as job market keeps slowing,Job growth hit an 18-month low in March amid increasing signs that the hiring boom may be running out of steam.,2019-04-03 12:15:00Z
365,Services sector growth falls to slowest pace since August 2017,"Growth in the U.S. services sector fell more than expected and reached its slowest pace in more than a year, according to data from the Institute for Supply Management.",2019-04-03 14:00:00Z
366,Trump to meet with China's Vice Premier as the US closes in on a deal to end the trade war,The meeting comes as Washington and Beijing appeared to be closing in on a deal that would put an end to their ongoing trade war.,2019-04-04 01:33:00Z
367,"US weekly jobless claims total 202,000, vs 216,000 expected","First-time claims for state unemployment benefits were expected to total 216,000 for the most recent week, up from 211,000 claims reported for the previous week.",2019-04-04 12:30:00Z
368,Democratic bill would require businesses to contribute to retirement plans,"Under the proposal, businesses would pay at least 50 cents into an employee retirement plan for every hour worked.",2019-04-04 14:00:00Z
369,Friday's jobs report could eliminate market's recession fears,Strong data could help curb market speculation that a recession is coming and that the Federal Reserve could have to cut interest rates.,2019-04-04 18:03:00Z
370,Josh Brown: How I explain the stock market vs the economy,"Josh Brown, CEO of Ritholtz Wealth Management, has a good analogy to compare the gyrations on Wall Street to the real economy.",2019-04-05 10:10:00Z
371,"US added 196,000 jobs in March, vs 175,000 expected","Nonfarm payrolls were expected to rise by 175,000 and the unemployment rate was projected to hold steady at 3.8 percent, according to economists surveyed by Dow Jones.",2019-04-05 12:30:00Z
372,"Trump says economy would take off like 'rocket ship' if Fed cut rates, ends tightening policy",,2019-04-05 14:11:00Z
373,Strong jobs number dashes recession fears and shows Fed it does not need to move on rates,"March&#039;s jobs growth powered back to a more normal level of 196,000, after February&#039;s weakness, suggesting a first-quarter slowdown is fading.",2019-04-05 14:25:00Z
374,America's bustling jobs market is still leaving some people behind,"For those in the labor market, employers and job-seekers alike, the details of the U.S. labor market are complicated.",2019-04-05 15:32:00Z
375,"White House planning executive order which aims to boost pipeline construction, lower energy prices",The effort was spurred by the blockage of the construction of the 125-mile Constitution Pipeline from Pennsylvania to New York.,2019-04-05 15:50:00Z
376,"After being rocked by Trump tariffs, the solar energy business is bouncing back","After two years of job losses in the solar industry, a California mandate is welcome and advocates are projecting demand to pick up.",2019-04-05 16:45:00Z
377,US threatens to slap new tariffs on EU goods in retaliation against Airbus subsidies,The U.S. Trade Representative on Monday proposed a list of European Union products ranging from large commercial aircraft and parts to dairy products and wine on which to slap tariffs as retaliation for European aircraft subsidies.,2019-04-09 01:10:00Z
378,US consumer prices post the biggest increase in 14 months,"U.S. consumer prices increased by the most in more than a year in March, but underlying inflation remained benign against the backdrop of slowing domestic and global economic growth.",2019-04-10 12:30:00Z
379,US weekly jobless claims drop to the lowest level since 1969,"First-time claims for state unemployment benefits were expected to total 211,000 for the most recent week, up from the 202,000 claims reported for the previous week.",2019-04-11 12:32:00Z
380,Fed Chairman Jerome Powell to meet with Democrats as Trump increases pressure on central bank,Top lawmakers also say they are growing increasingly worried about the politicization of the Fed.,2019-04-11 10:27:00Z
381,"Gasoline likely going sky high on West Coast, but rest of US may not even see $3 this summer","California stations are selling $4 a gallon gasoline, but for drivers in most other states, unleaded gas this summer may not even reach $3 a gallon or stay there for long if it does.",2019-04-11 11:42:00Z
382,"'The worst, ill-suited appointments': Pelosi slams Trump's Fed picks Herman Cain and Stephen Moore","Speaking to reporters at a private lawmaker retreat, House Speaker Nancy Pelosi called conservative commentator Stephen Moore and businessman Herman Cain &quot;the worst, ill-suited appointments that the president could come up with.&quot;",2019-04-11 14:16:00Z
383,Paul Krugman: The next downturn will be a 'smorgasbord recession',"The economist says slowing growth in China and Europe, deflation of a tech bubble and corporate debt could all being on the next recession.",2019-04-12 11:47:00Z
384,"US import prices rose 0.6% in March, vs 0.4% increase expected","U.S. import prices were expected to rise 0.4% in March, after rising 0.6% a month earlier.",2019-04-12 12:32:00Z
385,Alan Greenspan says economy will start to fade 'very dramatically' because of US entitlement burden,,2019-04-12 14:20:00Z
386,Jamie Dimon says the US economic expansion 'could go on for years',"Fears that a recession is on the horizon spiked last month, when bond markets gave signals that confidence in the economy is dimming the further you look out.",2019-04-12 14:47:00Z
387,Fed's Charles Evans tells CNBC rates can stay unchanged into fall of 2020,Chicago Federal Reserve President Charles Evans said on Monday that he&#039;d be comfortable leaving interest rates alone until autumn 2020.,2019-04-15 12:35:00Z
388,"If Trump wins a second term, stocks would likely get a boost, Robert Shiller says",Yale University economics professor Robert Shiller suggests President Trump&#039;s policies will prolong the bull market.,2019-04-16 12:30:00Z
389,"Economy could be weaker than expected, and the reason is manufacturing","Industrial production was negative for the first quarter since the third quarter of 2017, and that could signal weaker economic growth than some economists expect.",2019-04-16 18:37:00Z
390,US trade deficit falls in February as shortfall with China decreases 28%,The decline was due in large part to a 28.2 percent decrease in its goods deficit with China as exports to the nation surged,2019-04-17 12:30:00Z
391,US weekly jobless claims lowest since 1969; unemployment rolls shrink,"First-time claims for state unemployment benefits were expected to total 205,000 in the most recent week, up slightly from the 196,000 claims reported for the previous week.",2019-04-18 12:31:00Z
392,Trump advisor Hassett expects economy to defy earlier doomsday predictions with 3% growth,"Stronger economic data recently signals a continuation of above-trend growth, says the Council of Economic Advisors chairman.",2019-04-22 14:18:00Z
393,"Herman Cain withdraws from consideration for Fed board, Trump says",,2019-04-22 16:18:00Z
394,US weekly jobless claims post biggest rise in 19 months,"The underlying trend continued to point to labor market strength, however.",2019-04-25 12:30:00Z
395,US core capital goods orders post the biggest gain in 8 months,"Orders for long-lasting factory goods were expected to rise 0.8% in March, after dropping 1.6% a month earlier.",2019-04-25 12:31:00Z
396,Friday's report of first quarter growth should show economy is strong and no recession in sight,"First quarter GDP likely is expected to have grown at a healthy 2.5% pace, a far cry from the early estimates of near zero growth.",2019-04-25 21:00:00Z
397,"US first-quarter GDP rose 3.2%, vs 2.5% growth expected",,2019-04-26 12:30:00Z
398,April business survey predicts slower pace of economic growth in the US,"A survey of corporate economists predicts the pace of growth will decline as employers face pressure to raise wages, spend more on worker training, and automate tasks because of the low unemployment rate.",2019-04-29 10:51:00Z
399,Fed's preferred inflation gauge shows no gain for March and is up just 1.6% over the past year,"The Fed&#039;s preferred inflation gauge showed no change in March and remained well below the central bank&#039;s target, a government report showed.",2019-04-29 12:30:00Z
400,"Anti-vaxxers are burdening the economy, says NIH doctor, as the measles outbreak grows","&quot;When people get sick, they lose work, they lose their finances from work, [and] they have hospital costs,&quot; says Dr. Anthony Fauci.",2019-04-29 13:27:00Z
401,Stephen Moore says the decline in 'male earnings' is big issue for the economy,Stephen Moore is a prospective nominee as a governor for the Federal Reserve.,2019-04-30 11:56:00Z
402,Home prices grow at a slower rate in February: S&P Case-Shiller,"Gains in home prices have been shrinking, due to higher mortgage rates and a general overheating of values in most metropolitan markets.",2019-04-30 13:00:00Z
403,"Pending home sales jumped 3.8% in March, thanks to a big dip in mortgage rates","Home shoppers signed 3.8% more contracts to buy existing homes in March compared with February, according to the National Association of Realtors&#039; Pending Home Sales Index. That was higher than analysts had expected. Sales were 1.2% lower annually.",2019-04-30 14:00:00Z
404,Trump calls on Fed to cut rates by 1% and urges more quantitative easing,"In a two-part tweet, the president says more easing would make the economy &quot;go up like a rocket.&quot;",2019-04-30 18:06:00Z
405,"Weekly mortgage applications drop 4.3%, despite lower interest rates","It may be the heart of the spring housing season, but the mortgage market isn&#039;t seeing big business.",2019-05-01 11:00:00Z
406,"Private payrolls surge by 275,000 in April, blowing past estimates and biggest gain since July","The gain was led by the services sector, which saw jobs increase by the most in more than two years for the industry.",2019-05-01 12:15:00Z
407,US weekly jobless claims are unchanged from last week,The trend remained consistent with tightening labor market conditions.,2019-05-02 12:30:00Z
408,Here's the one word from Jerome Powell that has people raising their eyebrows,"It only took one word from Fed Chairman Jerome Powell on inflation to send the markets reeling, and that word was &quot;transitory.&quot;",2019-05-01 19:14:00Z
409,"Hiring was likely strong in April, but the market is still braced for a surprise","Economists expect that the job market remained strong in April, and the economy added 190,000 jobs, about the same as March.",2019-05-03 11:14:00Z
410,Strong US job growth is expected in April; wages are seen moderate,"U.S. employers likely maintained a strong pace of hiring in April while steadily increasing wages for workers, pointing to solid economic growth and moderate inflation pressures.",2019-05-03 10:37:00Z
411,"US created 253,000 jobs in April, vs 190,000 expected",,2019-05-03 12:30:00Z
412,Here's where the jobs are � in one chart,CNBC studied the net changes by industry for April jobs based on the data from the Labor Department.,2019-05-03 13:59:00Z
413,Economist John Taylor thinks the Fed is 'in a better place' with interest rates,"Raising interest rates has given the Federal Reserve some breathing room for the next time a downturn hits, economist John Taylor said Friday.",2019-05-03 14:06:00Z
414,Warren Buffett says no textbook could have predicted the strange economy we have today,"This economic environment is one that no one could have seen coming given the current fiscal and monetary conditions, Warren Buffett says.",2019-05-03 14:26:00Z
415,Fed's James Bullard says interest rate policy is 'a little tight' right now,"Speaking at a time when the White House is pushing the Fed to lower rates, Bullard would not commit to that course.",2019-05-03 15:23:00Z
416,China confirms Liu will join trade talks this week as US says tariffs will rise on Friday,"Tariffs on $200 billion in Chinese goods are set to increase to 25% on Friday, but the U.S. could reconsider the move if it sees progress in the talks.",2019-05-06 20:59:00Z
417,The truth about Trump's China tariffs: Many major US companies don't think they're a big deal,"Stock markets around the world were caught by surprise when President Trump tweeted another tariff threat against China, but major corporations in the US recently surveyed by CNBC don&#039;t see an end to tariffs as a key issue in ending the trade war.",2019-05-07 09:15:00Z
418,"US job openings rebound in March, hiring little changed","U.S. job openings rebounded sharply in March, while the pace of hiring was little changed, pointing to a growing worker shortage that could slow employment growth this year.",2019-05-07 14:34:00Z
419,US producer prices rose moderately in April,"U.S. producer prices rose moderately in April, but underlying inflation pressures at the factory gate appeared to be picking up.",2019-05-09 12:30:00Z
420,US weekly jobless claims fall less than expected,The unexpectedly weak weekly jobless claims data could raise concerns that the robust labor market was losing some momentum.,2019-05-09 12:31:00Z
421,Trump to China President Xi: 'You backed out!',President Donald Trump blamed China&#039;s President Xi Jinping for a trade deal falling apart between the two countries in the final week.,2019-05-13 10:59:00Z
422,Fed's Neel Kashkari says US is 'in a very strong position' in escalating trade war with China,"Stocks were looking at another sharp drop, but Kashkari said indicators are showing little stress as the two sides continue their duel.",2019-05-13 13:48:00Z
423,Fed's Williams says policymakers need to better prepare for a lower interest rate world,"Torturously slow recoveries from recessions and low inflation are here to stay unless policymakers can get a better grip on how to stabilize the global economy in an era of lower interest rates, a top Federal Reserve policymaker said on Tuesday.",2019-05-14 10:16:00Z
424,"US import prices rose slightly in April, suggesting inflation could remain tame for a while","U.S. import prices were seen rising 0.7% in April, after climbing 0.6% a month earlier.",2019-05-14 12:30:00Z
425,"The Atlanta Fed's GDP forecast is sliding, and expectations for rate cuts are surging",The Atlanta Fed&#039;s GDPNow tracker is pointing to a 1.1% gain in Q2. Markets expect a Fed rate cut as soon as September.,2019-05-15 17:58:00Z
426,Retail sales declined in April as Americans cut back on spending,"Sales dropped 0.2% in April, the Commerce Department said Wednesday, after a big 1.7% jump in March",2019-05-15 12:31:00Z
427,"US weekly jobless claims total 212,000, vs 220,000 expected","First-time claims for state unemployment benefits were expected to total 220,000 for the most recent week, down from the 228,000 claims reported for the previous week.",2019-05-16 12:30:00Z
428,"US housing starts total 1.235 million in April, vs 1.205 million expected","U.S. housing starts were expected to total 1.205 million in April, up from the 1.139 million starts reported for the previous month.",2019-05-16 12:31:00Z
429,Credit card rates are now at their highest level in history and may weigh on the economy,"It costs more than ever to pay with a credit card, which could be a drag on economic growth.",2019-05-16 19:52:00Z
430,US recession risk rises as US-China trade tensions heat up: Reuters poll,"Over the last month the U.S.-China trade war has boosted the risk of a U.S. recession, say a strong majority of economists polled by Reuters.",2019-05-17 11:21:00Z
431,China accuses the US of 'bullying behavior',"&quot;China always believes that raising tariffs is not a solution to the trade frictions,&quot; a spokesperson for the Chinese Ministry of Commerce said.",2019-05-17 11:47:00Z
432,Trump administration will delay auto tariffs for up to six months,,2019-05-17 12:38:00Z
433,US consumer sentiment index surges to highest level in 15 years,"The preliminary reading on May consumer sentiment from the University of Michigan was expected to rise to 97.5, from the previous month&#039;s 97.2 reading.",2019-05-17 14:00:00Z
434,"Three states, including two big ones for the 2020 election, just set new lows for unemployment","Vermont&#039;s 2.2%, Pennsylvania&#039;s 3.8% and Wisconsin&#039;s 2.8% set new lows for state unemployment rates.",2019-05-17 15:23:00Z
435,China in 'no rush' to restart trade talks,Beijing is in &quot;no rush&quot; to resume trade talks between the U.S. and China.,2019-05-20 12:05:00Z
436,Atlanta Fed President Bostic does not see a rate cut this year like the market is telegraphing,,2019-05-20 12:42:00Z
437,Here's what to do if the US-China trade war ignites layoffs,The trade war with China and rising pressure on manufacturers and retailers is bringing a new worry : layoffs. Here&#039;s how to manage if you lose your job.,2019-05-20 13:08:00Z
438,Fed Chair Powell: Business debt is rising but does not pose a threat to the system,The issue of corporate debt has surfaced as companies continue to use the low rates the Fed has provided to lever up their balance sheets.,2019-05-20 23:05:00Z
439,"As the stock market makes a comeback, the bond market flashes a 'dire' warning about the economy","Stocks are weathering the latest bouts increasing trade fears, but the bond market is pointing to more trouble ahead.",2019-05-21 12:16:00Z
440,Home sales fell in April despite a big drop in mortgage rates,"Sales of existing U.S. homes fell 0.4% in April compared with March to a seasonally adjusted annualized rate of 5.19 million units, according to the National Association of Realtors. Sales were 4.4% lower compared with April 2018.",2019-05-21 14:00:00Z
441,"Xi Jinping says China is embarking on a 'new Long March,' signaling no end to trade war soon","&quot;We are now embarking on a new Long March, and we must start all over again!&quot; Xi Jinping said.",2019-05-21 13:30:00Z
442,"China would see 'blue skies ahead' if it accepts all US demands, Fed's Bullard says",St. Louis Federal Reserve President James Bullard expressed optimism that the United States and China will reach a deal to end their trade war.,2019-05-22 07:48:00Z
443,"Mortgage refinances surge 8%, as rates fall to the lowest level since January 2018","Homeowners are taking advantage of lower interest rates, rushing to refinance their mortgages before rates potentially turn higher again.",2019-05-22 11:03:00Z
444,"Odds of a US-China trade deal are 'rapidly receding,' Stephen Roach warns",One of Wall Street&#039;s leading experts on China suggests the window is closing on a trade deal.,2019-05-23 11:51:00Z
445,US weekly jobless claims unexpectedly fall,"First-time claims for state unemployment benefits were expected to total 215,000 for the most recent week, up slightly from the 212,000 claims reported for the previous week.",2019-05-23 12:30:00Z
446,"Trump administration to give a $16 billion bailout to farmers hurt by trade war, USDA chief says",President Donald Trump was expected to formally announce the aid plan later in the day at the White House.,2019-05-23 13:23:00Z
447,The US tariffs on China have been paid almost entirely by US importers: IMF study,"U.S. tariffs on Chinese goods are hurting an unintended target as the trade war with China rages, an International Monetary Fund study finds.",2019-05-23 13:00:00Z
448,China denounces US 'rumors' and 'lies' about Huawei ties to Beijing,China denounced U.S. Secretary of State Mike Pompeo for fabricating rumors after he said the chief executive of China&#039;s Huawei was lying about his company&#039;s ties to the Beijing government.,2019-05-24 10:27:00Z
449,JP Morgan slashes second-quarter GDP forecast to just 1%,"J.P. Morgan economists said they see second quarter growth of just 1%, down from their prior forecast of 2.25%.",2019-05-24 15:23:00Z
450,"Increasing tariffs on China will likely hurt US growth, says Nomura",U.S. President Donald Trump claims that tariffs have meant China is paying billions of dollars. Economists say that isn&#039;t the case.,2019-05-28 04:16:00Z
451,10-year Treasury yield drops to 19-month low as trade fights threaten US growth,The yield on the benchmark 10-year Treasury note fell to a 19-month low Tuesday as trade fears weighed on the U.S. economic growth outlook.,2019-05-28 08:10:00Z
452,Jamie Dimon warns US-China trade fight becoming a 'real issue' that could deter investment,Dimon was answering a question about the risks that could end the current economic expansion.,2019-05-28 12:57:00Z
453,The next downturn could see a 'radicalization' of the policies used during the financial crisis,"Policymakers pulled out all the stops to fix the financial crisis, but may even have to get more extreme when the next downturn hits.",2019-05-28 18:04:00Z
454,The market now thinks the Fed will cut rates twice by January 2020,"Futures trading indicated a 63% chance of a September cut and a 62% probability of another easing by January, according to the CME&#039;s FedWatch tool.",2019-05-29 16:15:00Z
455,"China makes next move in trade war, reportedly halting US soy purchases","China has halted purchases of American soybeans in another chess move in the escalated trade war, according to a Bloomberg report.",2019-05-30 12:26:00Z
456,April pending home sales fall unexpectedly,"Home shoppers signed 1.5% fewer contracts to buy existing homes in April compared with March, according to the National Association of Realtors&#039; Pending Home Sales Index. Sales were 2% lower compared with April 2018.",2019-05-30 14:00:00Z
457,"Trade war could trigger a 'global financial crisis,' says ex-China central bank chief","China continued to ramp up the rhetoric against the U.S. on Friday, with a former Chinese central bank chief saying that further escalation in trade tensions between Washington and Beijing could greatly hurt the global economy.",2019-05-31 09:44:00Z
458,Trump may 'end up torpedoing' the new NAFTA after threatening Mexico with a costly tariff,President Trump says an additional tariff on Mexican goods would address the &quot;border crisis.&quot;,2019-05-31 04:16:00Z
459,US inflation picks up in April as spending slows,"U.S. consumer prices increased in April, which could allow the Federal Reserve to keep interest rates unchanged for a while.",2019-05-31 12:30:00Z
460,Investors want a Fed rate cut before economy turns: 'Risk becomes greater the longer you wait',"Financial markets � not to mention the White House � are demanding a cut, and it&#039;s likely to get at least one before the year ends.",2019-06-04 11:33:00Z
461,"Don't rule out a June rate cut due to 'collapsing' inflation signs, market bull Tony Dwyer says",Canaccord Genuity&#039;s Tony Dwyer believes the market could push the Federal Reserve to cut rates within weeks.,2019-06-04 12:30:00Z
462,Investors want a Fed rate cut before economy turns: 'Risk becomes greater the longer you wait',"Financial markets � not to mention the White House � are demanding a cut, and it&#039;s likely to get at least one before the year ends.",2019-06-04 12:43:00Z
463,"The Fed is 'indicating that a rate cut is coming,' says former central banker",Former Fed governor Sarah Bloom Raskin said Chairman Powell&#039;s recent speech signals the central bank&#039;s willingness to consider a rate cut.,2019-06-05 02:19:00Z
464,"Job growth screeches to a near halt in May, with private payrolls up just 27,000","Companies added just 27,000 new positions during the month, well below Dow Jones estimates of 173,000.",2019-06-05 12:15:00Z
465,Navarro says Trump's new tariffs 'may not have to go into effect' depending on US-Mexico talks,The White House advisor outlined three specific areas where Mexico could make changes to stop Trump from slapping tariffs on their goods.,2019-06-05 14:15:00Z
466,"The economy is slowing, but not as bad as Wednesday's private payrolls report suggests","ADP&#039;s 27,000 jobs added in ADP&#039;s private sector payrolls but economists still expect Friday&#039;s government jobs report to .",2019-06-05 16:32:00Z
467,The May jobs report is coming and economic reports don't get much more important than this one,"The economy was expected to add a solid 180,000 jobs in May, but if the payroll number is way off, that could be a game changer for markets.",2019-06-06 18:44:00Z
468,"US nonfarm payrolls rose 75,000 in May, vs 180,000 estimate",,2019-06-07 12:30:00Z
469,Trump: The Mexico trade deal took just two days because of my tariff threat,Trump tells CNBC the immigration deal came together in just two days because Mexico&#039;s leaders knew the alternative would have been worse.,2019-06-10 12:44:00Z
470,"Trump: If President Xi does not attend G-20, more China tariffs will go into effect immediately",President Donald Trump confirmed on Monday that additional tariffs on Chinese goods will go into place if Chinese President Xi Jinping does not attend the coming G-20 meeting.,2019-06-10 12:54:00Z
471,Commerce secretary predicts a Trump-China trade deal � 'even shooting wars end in negotiations',Commerce Secretary Wilbur Ross appeared Tuesday on CNBC&#039;s &quot;Squawk Box.&quot;,2019-06-11 11:09:00Z
472,"US producer price index rose 0.1% in May, as expected","The U.S. producer price index was expected to edge up 0.1% in May, after rising 0.2% a month earlier.",2019-06-11 12:30:00Z
473,Trump touts low inflation moments after his onetime Fed pick argued for a rate cut to boost it,"&quot;The Fed has to cut rates because prices have been falling and once those prices stabilize you just stop cutting rates,&quot; says the onetime Trump Fed pick.",2019-06-11 13:02:00Z
474,"'Tariff Man' Trump heads to Iowa, a state scarred by his trade war ahead of 2020",Trump&#039;s trip to Iowa shows an effort to contain the damage from tariffs ahead of the 2020 election � especially as Democratic presidential candidates swarm the state.,2019-06-11 14:00:00Z
475,Soft inflation data on Wednesday could spark more speculation for a Fed rate cut soon,"Consumer price inflation was expected to have increased at a pace of 1.9% in May, slower than in April and below the Federal Reserve&#039;s 2% target.",2019-06-12 10:42:00Z
476,US consumer prices barely rise in May,"The U.S. Consumer Price Index was expected to edge up 0.1% in May, after rising 0.3% a month earlier.",2019-06-12 12:30:00Z
477,"US weekly jobless claims unexpectedly rise, sparking fears the labor market is losing steam","First-time claims for state unemployment benefits were expected to total 216,000, down slightly from the 218,000 claims reported for the previous week.",2019-06-13 12:31:00Z
478,US import prices post the largest drop in 5 months,"U.S. import prices fell by the most in five months in May amid a broad decline in the cost of goods, the latest indication of muted inflation that strengthens the case for the Federal Reserve to cut interest rates this year.",2019-06-13 12:49:00Z
479,CEO optimism takes a hit in the second quarter as trade headwinds persist,The Business Roundtable&#039;s CEO Economic Outlook Index fell by 5.7 points in the second quarter to 89.5.,2019-06-13 14:03:00Z
480,"US retail sales rose in May, while April was revised higher","U.S. retail sales were expected to rise 0.6% in May, after slipping 0.2% a month earlier.",2019-06-14 12:30:00Z
481,"The Fed is likely to drop 'patient' word next week, clearing way for July cut, economists say","The Fed is not likely to make a move on interest rates when it meets next week, but it is expected to smooth the way for a rate cut later in the summer.",2019-06-14 14:13:00Z
482,US business inventories rebound; sales fall,"U.S. business inventories rebounded in April as sales fell, but inventory accumulation is still expected to be a drag on economic growth in the second quarter.",2019-06-14 14:15:00Z
