,Title,Summary,Published On
35,US import prices fall for a second straight month,,2019-01-16 13:31:00Z
36,There is real potential for climate change to create a foreclosure crisis,"As extreme weather events become more frequent in places where borrowers might not have flood or fire insurance, the risk of foreclosure rises. Some now predict that the nation could face a climate-related inspired housing crisis.",2019-01-17 12:00:00Z
37,Fed's Kashkari says big banks are safer now than before the financial crisis,"Neel Kashkari, president of the Federal Reserve Bank of Minneapolis and a critic of big banks, on Wednesday said the biggest U.S. banks are &quot;unquestionably&quot; safer than they were before the 2007-2009 financial crisis.",2019-01-17 12:13:00Z
38,Shutdown is starting to hurt Trump's financial deregulation agenda,The U.S. government shutdown over President Donald Trump&#039;s call for Congress to fund a wall he promised to build on the U.S.- Mexican border is threatening another campaign pledge to make rules easier to navigate for banks and corporations.,2019-01-17 13:05:00Z
39,"US weekly jobless claims total 213,000, vs 220,000 expected","First-time claims for state unemployment benefits were expected to total 220,000 in the most recent week, up from the 216,000 claims reported for the previous week.",2019-01-17 13:30:00Z
40,US officials debate lifting tariffs on China to get a trade deal: WSJ,"Lifting tariffs could clear the way for deeper concessions from Beijing, sources told WSJ",2019-01-17 19:41:00Z
41,"Consumer sentiment in January at 90.7, vs 96.4 expected","Consumer sentiment dropped to its lowest level since before the U.S. presidential election in 2016 amid growing concerns over U.S. economic growth, according to data released Friday.",2019-01-18 15:00:00Z
42,Trump's dismal popularity among foreigners may be costing the US billions in exports,"President Donald Trump&#039;s unpopularity overseas may have cut American exports by at least $3 billion, according to a UC Berkeley study.",2019-01-18 17:38:00Z
43,IMF Chair Christine Lagarde cuts global growth forecast for 2019 to 3.5 percent,"IMF Chair Christine Lagarde has cut the global growth forecast to 3.5 percent. Speaking at the World Economic Forum in Davos, Switzerland, she said the move was due to the high level of economic risks that are accelerating around the globe.",2019-01-22 13:22:00Z
44,A US trade deal with China won't be perfect � it doesn't need to be,"U.S. and Chinese negotiators need to accept that certain goals can&#039;t be reached at the moment, but that shouldn&#039;t stop them from reaching a deal to avert an all-out trade war and bring confidence back to global markets, writes Stefan M. Selig.",2019-01-22 14:25:00Z
45,"US cancels trade planning meeting with China, source says",,2019-01-22 18:21:00Z
46,White House chief economist: We could see 'zero' growth in first quarter because of shutdown,White House economic advisor Kevin Hassett said Wednesday that the United States could post no economic growth in the first quarter.,2019-01-23 15:19:00Z
47,"Government debt tab hits $66 trillion, 80% of global GDP, Fitch says","&quot;Government debt levels are high, leaving many countries poorly positioned for financial tightening as global interest rates begin to move higher,&quot; Fitch&#039;s James McCormack says.",2019-01-23 16:05:00Z
48,"Recession fears are spreading, but Goldman Sachs says don't worry","While it may be a case of famous last words, the bank&#039;s experts in fact say the U.S. economy is less prone to recession than it has been in the past.",2019-01-23 19:07:00Z
49,Commerce Sec Wilbur Ross: The US is still 'miles and miles' from a trade deal with China,Commerce Secretary Wilbur Ross joins CNBC as Beijing and Washington try to resolve their trade disputes under a tariff cease-fire.,2019-01-24 13:33:00Z
50,Applications for US unemployment aid fall to a 49-year low,"The number of people seeking jobless benefits dropped last week to the lowest level since November 1969, a sign the job market remains strong despite the partial government shutdown, now in its fifth week.",2019-01-24 13:30:00Z
